,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,Formation,Play
5,2,9,48,WAS,MIA,2,2,20,UNDER CENTER,RUSH
6,2,9,13,WAS,MIA,1,10,24,UNDER CENTER,PASS
7,4,2,33,WAS,MIA,2,11,76,SHOTGUN,PASS
8,1,4,57,BUF,IND,2,20,37,UNDER CENTER,PASS
10,3,14,4,BUF,IND,1,10,68,UNDER CENTER,PASS
11,3,13,27,BUF,IND,2,7,71,UNDER CENTER,RUSH
13,4,13,33,BUF,IND,4,17,13,PUNT,KICK
15,1,8,20,CLE,NYJ,3,1,28,SHOTGUN,PASS
16,1,7,26,CLE,NYJ,2,9,40,UNDER CENTER,RUSH
18,2,2,0,NYJ,CLE,2,2,47,SHOTGUN,PASS
20,3,10,52,CLE,NYJ,3,7,37,SHOTGUN,PASS
22,3,4,49,KC,HOU,1,10,35,UNDER CENTER,PASS
23,3,4,42,KC,HOU,2,10,35,SHOTGUN,PASS
24,4,3,26,KC,HOU,2,6,24,UNDER CENTER,PASS
25,4,1,22,KC,HOU,1,10,50,UNDER CENTER,RUSH
26,1,7,20,NO,ARI,2,1,41,UNDER CENTER,RUSH
27,3,9,2,NO,ARI,1,10,43,UNDER CENTER,RUSH
30,4,14,28,SD,DET,2,7,50,SHOTGUN,PASS
32,4,14,12,BAL,DEN,2,10,35,UNDER CENTER,PASS
34,2,13,41,OAK,CIN,4,6,47,PUNT,KICK
35,3,7,50,CIN,OAK,1,10,15,UNDER CENTER,PASS
36,3,0,47,OAK,CIN,2,6,32,NO HUDDLE SHOTGUN,PASS
37,1,10,16,TEN,TB,1,10,37,UNDER CENTER,RUSH
38,1,0,41,TB,TEN,2,7,93,UNDER CENTER,PASS
39,2,6,39,TEN,TB,2,9,73,UNDER CENTER,RUSH
40,2,0,48,TB,TEN,1,10,20,SHOTGUN,PASS
41,4,14,21,TEN,TB,1,15,60,UNDER CENTER,RUSH
42,4,12,36,TB,TEN,1,10,28,UNDER CENTER,RUSH
43,4,2,12,TEN,TB,1,10,16,UNDER CENTER,RUSH
45,1,6,36,DAL,NYG,2,10,85,SHOTGUN,PASS
48,3,1,50,DAL,NYG,2,6,12,UNDER CENTER,RUSH
49,3,1,4,DAL,NYG,3,5,13,SHOTGUN,PASS
51,2,7,11,ATL,PHI,1,10,23,UNDER CENTER,PASS
53,3,13,20,PHI,ATL,2,8,92,NO HUDDLE SHOTGUN,RUSH
56,2,15,0,SF,MIN,3,14,25,SHOTGUN,PASS
57,2,14,56,SF,MIN,4,14,25,PUNT,KICK
60,3,8,42,SF,MIN,1,10,31,SHOTGUN,RUSH
61,3,0,26,MIN,SF,1,10,77,UNDER CENTER,PASS
63,2,11,56,KC,DEN,2,6,26,UNDER CENTER,RUSH
64,2,4,30,DEN,KC,1,10,52,NO HUDDLE SHOTGUN,PASS
65,4,12,22,KC,DEN,2,10,30,SHOTGUN,PASS
66,4,4,58,DEN,KC,3,5,35,SHOTGUN,PASS
67,4,4,51,DEN,KC,4,5,35,PUNT,KICK
68,1,13,52,HOU,CAR,4,16,22,PUNT,KICK
69,1,0,43,CAR,HOU,2,10,62,SHOTGUN,PASS
71,2,15,0,CAR,HOU,3,13,59,SHOTGUN,PASS
72,2,10,5,CAR,HOU,1,10,39,SHOTGUN,RUSH
73,2,0,35,CAR,HOU,1,10,9,UNDER CENTER,RUSH
74,2,0,19,CAR,HOU,1,10,20,UNDER CENTER,RUSH
75,3,7,56,CAR,HOU,2,8,22,UNDER CENTER,PASS
76,3,7,19,CAR,HOU,1,10,31,NO HUDDLE SHOTGUN,PASS
77,4,9,2,CAR,HOU,1,10,64,UNDER CENTER,PASS
79,4,2,39,HOU,CAR,2,10,43,SHOTGUN,RUSH
80,1,14,22,BUF,NE,2,6,24,SHOTGUN,PASS
81,1,13,49,BUF,NE,1,10,47,SHOTGUN,RUSH
82,1,6,42,BUF,NE,4,15,23,PUNT,KICK
83,2,9,18,BUF,NE,3,3,59,SHOTGUN,PASS
84,2,4,20,NE,BUF,1,10,27,NO HUDDLE,RUSH
86,3,10,6,NE,BUF,4,3,97,FIELD GOAL,KICK
88,3,4,15,NE,BUF,2,9,67,NO HUDDLE SHOTGUN,PASS
90,4,8,15,NE,BUF,4,1,59,UNDER CENTER,PASS
91,4,8,10,BUF,NE,1,10,41,SHOTGUN,RUSH
92,4,4,16,NE,BUF,1,10,20,UNDER CENTER,PASS
93,1,5,42,SD,CIN,1,10,52,UNDER CENTER,RUSH
94,1,5,6,SD,CIN,2,9,53,SHOTGUN,RUSH
95,1,4,13,CIN,SD,1,10,42,SHOTGUN,PASS
96,2,12,25,SD,CIN,2,8,65,SHOTGUN,PASS
97,2,11,52,SD,CIN,1,10,77,UNDER CENTER,RUSH
98,2,5,28,SD,CIN,2,5,25,SHOTGUN,PASS
99,2,4,54,SD,CIN,3,2,28,SHOTGUN,PASS
100,3,11,52,SD,CIN,1,10,70,SHOTGUN,PASS
101,3,3,51,CIN,SD,2,4,90,UNDER CENTER,RUSH
104,1,7,11,CLE,TEN,1,10,72,SHOTGUN,PASS
105,1,0,46,TEN,CLE,2,7,58,UNDER CENTER,RUSH
106,2,0,53,TEN,CLE,1,10,20,SHOTGUN,PASS
107,3,6,36,CLE,TEN,2,10,31,UNDER CENTER,PASS
108,4,12,55,TEN,CLE,1,10,35,SHOTGUN,PASS
109,4,3,7,CLE,TEN,2,8,48,UNDER CENTER,RUSH
110,1,5,7,NYG,ATL,3,10,44,NO HUDDLE SHOTGUN,PASS
111,2,15,0,NYG,ATL,2,9,36,SHOTGUN,PASS
112,2,14,54,NYG,ATL,3,9,36,NO HUDDLE SHOTGUN,PASS
113,3,13,24,NYG,ATL,1,10,42,NO HUDDLE,RUSH
115,3,4,15,ATL,NYG,1,10,9,UNDER CENTER,PASS
116,4,10,17,NYG,ATL,2,8,43,NO HUDDLE SHOTGUN,RUSH
117,4,9,51,NYG,ATL,1,10,54,NO HUDDLE SHOTGUN,PASS
119,4,3,23,NYG,ATL,4,7,39,PUNT,KICK
121,3,13,2,WAS,LA,4,15,15,PUNT,KICK
122,3,5,29,WAS,LA,4,8,32,PUNT,KICK
125,1,13,36,CHI,ARI,1,10,41,NO HUDDLE,RUSH
126,1,12,58,CHI,ARI,2,9,42,NO HUDDLE SHOTGUN,PASS
127,1,12,27,CHI,ARI,2,19,32,SHOTGUN,PASS
128,1,4,3,CHI,ARI,2,7,47,NO HUDDLE SHOTGUN,RUSH
129,1,3,29,CHI,ARI,3,2,52,NO HUDDLE SHOTGUN,PASS
130,2,13,36,CHI,ARI,1,10,51,SHOTGUN,RUSH
134,3,3,14,CHI,ARI,3,17,55,SHOTGUN,PASS
136,4,11,47,ARI,CHI,1,10,53,UNDER CENTER,RUSH
137,2,10,23,DET,MIN,2,3,68,UNDER CENTER,RUSH
138,2,9,47,DET,MIN,3,1,70,UNDER CENTER,RUSH
139,2,9,4,DET,MIN,1,10,72,SHOTGUN,PASS
140,3,4,45,DET,MIN,1,10,8,SHOTGUN,PASS
141,3,4,17,DET,MIN,2,5,13,SHOTGUN,RUSH
142,4,12,34,MIN,DET,4,1,37,PUNT,KICK
143,4,4,57,DET,MIN,1,10,33,SHOTGUN,PASS
144,4,1,47,MIN,DET,1,10,52,UNDER CENTER,RUSH
147,1,0,45,NO,TB,1,10,20,UNDER CENTER,RUSH
148,1,0,15,NO,TB,2,10,20,SHOTGUN,PASS
149,2,8,6,TB,NO,1,10,46,UNDER CENTER,RUSH
150,2,7,31,TB,NO,2,3,53,UNDER CENTER,RUSH
151,2,6,54,TB,NO,3,2,54,UNDER CENTER,PASS
155,3,5,33,NO,TB,1,10,32,UNDER CENTER,RUSH
156,3,4,57,NO,TB,2,6,36,UNDER CENTER,PASS
157,3,4,18,NO,TB,3,2,40,SHOTGUN,PASS
158,4,14,21,NO,TB,3,5,68,SHOTGUN,PASS
160,1,13,46,PIT,SF,3,10,20,SHOTGUN,PASS
161,1,6,25,PIT,SF,1,10,63,NO HUDDLE SHOTGUN,RUSH
162,1,5,1,PIT,SF,1,9,91,SHOTGUN,RUSH
163,2,8,2,SF,PIT,1,10,18,SHOTGUN,RUSH
166,4,3,16,SF,PIT,1,6,94,NO HUDDLE SHOTGUN,RUSH
167,4,2,48,SF,PIT,2,3,97,NO HUDDLE SHOTGUN,PASS
169,1,12,36,OAK,BAL,1,7,93,SHOTGUN,RUSH
170,2,12,57,OAK,BAL,1,1,99,UNDER CENTER,RUSH
171,2,4,43,OAK,BAL,2,3,64,NO HUDDLE SHOTGUN,PASS
173,2,0,30,BAL,OAK,2,20,68,SHOTGUN,RUSH
174,3,10,53,OAK,BAL,2,1,61,UNDER CENTER,RUSH
175,4,3,52,BAL,OAK,2,6,78,SHOTGUN,RUSH
176,4,3,19,BAL,OAK,3,1,83,UNDER CENTER,RUSH
177,4,2,32,BAL,OAK,1,10,85,UNDER CENTER,RUSH
181,1,1,42,JAX,MIA,1,10,28,UNDER CENTER,RUSH
182,2,7,26,JAX,MIA,2,9,43,SHOTGUN,RUSH
183,2,6,45,JAX,MIA,3,8,44,SHOTGUN,PASS
184,2,1,44,JAX,MIA,2,10,20,SHOTGUN,PASS
185,3,4,57,MIA,JAX,3,15,34,SHOTGUN,PASS
186,4,12,20,JAX,MIA,3,10,20,SHOTGUN,PASS
187,4,0,43,JAX,MIA,4,1,90,FIELD GOAL,KICK
188,1,9,38,DAL,PHI,4,1,22,PUNT,KICK
189,1,9,28,PHI,DAL,1,10,18,UNDER CENTER,RUSH
190,1,1,50,DAL,PHI,2,1,99,UNDER CENTER,PASS
192,1,1,39,PHI,DAL,1,10,20,SHOTGUN,RUSH
193,2,9,10,DAL,PHI,1,15,23,UNDER CENTER,RUSH
194,2,8,24,DAL,PHI,2,12,26,SHOTGUN,PASS
195,2,8,16,DAL,PHI,3,12,26,SHOTGUN,PASS
197,4,4,47,PHI,DAL,1,10,34,NO HUDDLE SHOTGUN,PASS
198,4,1,58,PHI,DAL,3,1,99,NO HUDDLE SHOTGUN,RUSH
200,1,4,55,SEA,GB,2,10,47,SHOTGUN,RUSH
201,2,12,27,GB,SEA,1,10,11,SHOTGUN,PASS
202,2,11,51,GB,SEA,1,10,25,NO HUDDLE SHOTGUN,PASS
203,2,2,48,SEA,GB,1,10,24,SHOTGUN,RUSH
204,3,13,45,SEA,GB,3,11,43,SHOTGUN,PASS
205,3,13,4,SEA,GB,1,10,60,UNDER CENTER,PASS
210,2,15,0,NYJ,IND,1,10,58,UNDER CENTER,PASS
212,2,7,11,IND,NYJ,4,1,29,PUNT,KICK
213,2,7,3,NYJ,IND,1,10,29,SHOTGUN,PASS
214,3,7,17,IND,NYJ,3,6,90,SHOTGUN,PASS
215,3,6,2,IND,NYJ,2,1,99,UNDER CENTER,RUSH
216,4,14,20,NYJ,IND,3,7,62,SHOTGUN,PASS
218,4,6,27,NYJ,IND,2,7,85,UNDER CENTER,PASS
219,4,1,2,NYJ,IND,4,12,72,FIELD GOAL,KICK
221,1,9,43,NYG,WAS,3,3,51,NO HUDDLE SHOTGUN,PASS
222,1,1,30,NYG,WAS,2,10,81,UNDER CENTER,RUSH
224,3,10,55,NYG,WAS,1,10,53,NO HUDDLE SHOTGUN,RUSH
226,1,10,36,DAL,ATL,1,10,62,UNDER CENTER,RUSH
227,1,9,59,DAL,ATL,2,9,63,SHOTGUN,PASS
228,2,8,54,DAL,ATL,1,10,81,UNDER CENTER,RUSH
229,2,7,31,DAL,ATL,1,2,98,UNDER CENTER,RUSH
231,3,14,52,ATL,DAL,1,10,10,UNDER CENTER,PASS
232,3,14,48,ATL,DAL,2,10,10,UNDER CENTER,RUSH
233,3,14,25,ATL,DAL,3,3,17,SHOTGUN,PASS
235,4,3,9,ATL,DAL,3,2,98,SHOTGUN,PASS
237,1,12,39,NO,CAR,2,10,35,UNDER CENTER,PASS
238,1,12,11,NO,CAR,1,10,46,UNDER CENTER,RUSH
239,1,11,44,NO,CAR,1,10,64,SHOTGUN,PASS
241,2,10,22,CAR,NO,2,10,33,NO HUDDLE SHOTGUN,PASS
242,3,13,2,CAR,NO,4,10,34,PUNT,KICK
243,3,12,52,CAR,NO,4,25,19,PUNT,KICK
245,4,6,17,NO,CAR,1,10,72,UNDER CENTER,RUSH
246,4,1,49,NO,CAR,2,10,73,SHOTGUN,RUSH
249,2,0,12,NYJ,PHI,2,10,84,SHOTGUN,PASS
251,4,3,17,PHI,NYJ,3,5,23,SHOTGUN,RUSH
253,1,14,36,HOU,TB,2,5,25,UNDER CENTER,RUSH
254,1,14,5,HOU,TB,3,1,29,SHOTGUN,PASS
255,2,14,31,HOU,TB,3,4,62,SHOTGUN,PASS
258,3,13,15,HOU,TB,3,6,78,SHOTGUN,PASS
259,3,7,17,HOU,TB,1,10,31,UNDER CENTER,RUSH
260,3,6,49,HOU,TB,2,6,35,UNDER CENTER,PASS
262,3,0,38,HOU,TB,3,8,52,SHOTGUN,PASS
264,4,1,15,HOU,TB,4,1,99,FIELD GOAL,KICK
265,1,11,0,SD,MIN,4,3,13,PUNT,KICK
266,1,10,44,MIN,SD,1,10,32,UNDER CENTER,RUSH
267,1,10,12,MIN,SD,2,5,37,UNDER CENTER,PASS
269,2,3,47,MIN,SD,4,2,20,PUNT,KICK
270,2,3,34,SD,MIN,1,10,10,SHOTGUN,PASS
271,3,13,34,SD,MIN,3,7,23,SHOTGUN,PASS
272,3,4,49,MIN,SD,1,10,77,UNDER CENTER,RUSH
273,4,7,15,SD,MIN,3,4,17,SHOTGUN,PASS
274,1,12,20,PIT,LA,2,8,51,SHOTGUN,PASS
275,2,7,46,PIT,LA,1,20,38,SHOTGUN,RUSH
278,2,3,37,JAX,NE,1,10,22,UNDER CENTER,PASS
280,4,8,22,NE,JAX,1,10,77,UNDER CENTER,PASS
281,4,7,43,NE,JAX,2,15,72,SHOTGUN,RUSH
283,3,3,28,BAL,CIN,2,21,25,UNDER CENTER,PASS
284,4,5,22,BAL,CIN,3,11,48,SHOTGUN,PASS
285,4,1,52,BAL,CIN,4,3,27,SHOTGUN,PASS
286,4,1,52,BAL,CIN,4,17,13,SHOTGUN,PASS
287,2,10,16,OAK,CLE,3,15,15,SHOTGUN,PASS
288,2,9,38,OAK,CLE,4,5,25,PUNT,KICK
289,2,4,31,CLE,OAK,1,10,71,UNDER CENTER,RUSH
290,2,3,46,CLE,OAK,2,16,65,UNDER CENTER,PASS
291,3,7,48,CLE,OAK,1,10,38,SHOTGUN,PASS
292,4,2,19,CLE,OAK,2,10,2,SHOTGUN,PASS
294,3,12,5,TEN,IND,1,20,34,SHOTGUN,PASS
296,4,0,51,TEN,IND,1,1,99,UNDER CENTER,RUSH
297,1,9,51,SF,ARI,1,10,30,SHOTGUN,RUSH
298,1,1,45,ARI,SF,2,5,75,UNDER CENTER,PASS
301,3,4,13,ARI,SF,1,10,32,UNDER CENTER,RUSH
302,3,3,31,ARI,SF,2,4,38,UNDER CENTER,RUSH
304,1,7,40,CHI,SEA,3,10,35,SHOTGUN,PASS
307,3,13,44,CHI,SEA,2,8,43,SHOTGUN,PASS
308,4,11,46,SEA,CHI,1,10,37,SHOTGUN,PASS
309,4,11,42,SEA,CHI,2,10,37,UNDER CENTER,RUSH
310,4,11,0,SEA,CHI,3,6,41,SHOTGUN,PASS
311,4,3,2,SEA,CHI,3,1,38,UNDER CENTER,PASS
312,1,4,54,MIA,BUF,1,10,31,SHOTGUN,PASS
313,1,4,21,MIA,BUF,2,3,38,SHOTGUN,PASS
314,1,3,35,MIA,BUF,3,6,35,SHOTGUN,PASS
315,2,11,54,BUF,MIA,4,2,92,FIELD GOAL,KICK
317,2,9,26,MIA,BUF,1,10,40,UNDER CENTER,RUSH
318,2,0,1,MIA,BUF,1,10,31,UNDER CENTER,RUSH
320,4,14,1,MIA,BUF,1,10,37,NO HUDDLE,RUSH
322,4,3,6,MIA,BUF,3,2,56,UNDER CENTER,RUSH
323,4,1,21,MIA,BUF,1,6,94,UNDER CENTER,RUSH
324,4,0,37,MIA,BUF,2,6,94,UNDER CENTER,PASS
326,2,15,0,DEN,DET,2,10,87,SHOTGUN,PASS
328,3,10,57,DET,DEN,1,16,84,SHOTGUN,PASS
329,3,2,44,DEN,DET,1,10,22,SHOTGUN,PASS
330,3,1,55,DEN,DET,3,21,11,SHOTGUN,PASS
331,4,10,21,DET,DEN,1,10,56,SHOTGUN,PASS
332,1,0,48,GB,KC,1,10,44,SHOTGUN,RUSH
335,2,1,6,GB,KC,3,1,68,UNDER CENTER,PASS
337,3,12,45,GB,KC,4,10,30,PUNT,KICK
338,3,7,18,KC,GB,1,10,20,UNDER CENTER,PASS
339,3,5,54,KC,GB,1,10,30,SHOTGUN,PASS
340,4,12,57,GB,KC,2,8,92,NO HUDDLE SHOTGUN,RUSH
342,4,1,59,KC,GB,1,10,90,SHOTGUN,PASS
343,1,1,16,BAL,PIT,2,9,84,SHOTGUN,PASS
344,1,0,32,BAL,PIT,3,2,91,UNDER CENTER,RUSH
346,2,6,57,PIT,BAL,4,15,59,PUNT,KICK
347,2,0,39,PIT,BAL,1,10,55,SHOTGUN,PASS
348,2,0,31,PIT,BAL,2,6,59,SHOTGUN,PASS
349,3,9,56,BAL,PIT,2,7,23,UNDER CENTER,RUSH
351,1,3,44,MIA,NYJ,2,20,16,SHOTGUN,PASS
353,2,4,40,MIA,NYJ,1,10,24,SHOTGUN,RUSH
354,3,7,24,NYJ,MIA,1,15,40,UNDER CENTER,PASS
356,4,7,38,MIA,NYJ,2,10,65,SHOTGUN,RUSH
358,4,3,15,NYJ,MIA,4,11,45,PUNT,KICK
361,3,14,56,OAK,CHI,1,10,26,UNDER CENTER,RUSH
362,3,9,0,CHI,OAK,3,10,32,NO HUDDLE SHOTGUN,PASS
366,1,1,34,ATL,HOU,1,10,48,UNDER CENTER,PASS
367,1,0,58,ATL,HOU,1,10,67,UNDER CENTER,PASS
369,2,12,15,HOU,ATL,2,10,20,UNDER CENTER,RUSH
371,3,15,0,HOU,ATL,1,10,20,SHOTGUN,RUSH
372,3,7,22,ATL,HOU,1,20,31,SHOTGUN,RUSH
373,4,14,28,HOU,ATL,3,1,95,SHOTGUN,PASS
375,4,7,40,ATL,HOU,3,9,25,SHOTGUN,RUSH
376,4,6,51,ATL,HOU,1,10,37,UNDER CENTER,RUSH
377,4,6,7,ATL,HOU,2,7,40,UNDER CENTER,RUSH
378,1,0,58,CIN,KC,3,2,87,SHOTGUN,RUSH
381,2,7,43,KC,CIN,1,10,67,UNDER CENTER,PASS
383,3,10,16,CIN,KC,2,6,40,SHOTGUN,PASS
384,3,9,50,CIN,KC,1,10,46,UNDER CENTER,PASS
385,3,2,43,CIN,KC,1,14,35,SHOTGUN,PASS
386,4,12,49,KC,CIN,2,5,57,SHOTGUN,PASS
387,4,4,54,CIN,KC,2,1,99,UNDER CENTER,RUSH
388,4,0,33,KC,CIN,2,1,10,SHOTGUN,PASS
389,1,8,49,IND,JAX,3,10,24,SHOTGUN,PASS
390,1,8,22,IND,JAX,1,10,40,UNDER CENTER,RUSH
391,1,7,45,IND,JAX,2,11,39,SHOTGUN,PASS
392,1,7,9,IND,JAX,3,5,45,NO HUDDLE SHOTGUN,PASS
394,2,4,54,JAX,IND,3,4,26,SHOTGUN,PASS
395,2,4,24,JAX,IND,1,10,32,UNDER CENTER,RUSH
396,3,4,9,IND,JAX,4,16,60,PUNT,KICK
399,2,8,12,WAS,PHI,1,10,57,UNDER CENTER,RUSH
400,2,1,30,PHI,WAS,1,10,89,NO HUDDLE SHOTGUN,PASS
401,3,10,42,WAS,PHI,3,1,29,UNDER CENTER,RUSH
402,3,9,50,PHI,WAS,1,10,44,SHOTGUN,RUSH
403,3,3,49,PHI,WAS,1,10,20,SHOTGUN,PASS
405,4,13,24,WAS,PHI,2,10,33,SHOTGUN,PASS
406,4,12,23,WAS,PHI,1,10,66,UNDER CENTER,RUSH
407,4,6,56,PHI,WAS,2,7,53,NO HUDDLE SHOTGUN,RUSH
408,4,6,20,PHI,WAS,3,5,55,NO HUDDLE SHOTGUN,PASS
410,1,12,0,TB,CAR,1,10,38,UNDER CENTER,RUSH
411,1,11,30,TB,CAR,2,10,38,UNDER CENTER,RUSH
413,1,4,7,CAR,TB,1,10,57,SHOTGUN,PASS
416,4,4,30,CAR,TB,2,10,88,UNDER CENTER,RUSH
420,1,9,44,BUF,NYG,2,2,43,UNDER CENTER,RUSH
421,1,1,57,NYG,BUF,2,27,27,NO HUDDLE SHOTGUN,PASS
422,1,1,55,NYG,BUF,3,27,27,NO HUDDLE SHOTGUN,PASS
424,2,0,24,BUF,NYG,4,6,29,PUNT,KICK
427,4,0,20,BUF,NYG,3,5,87,SHOTGUN,PASS
428,1,9,34,CLE,SD,1,10,48,UNDER CENTER,RUSH
429,1,1,37,SD,CLE,1,10,61,SHOTGUN,RUSH
430,2,10,29,CLE,SD,1,10,30,UNDER CENTER,PASS
431,2,9,56,CLE,SD,2,13,27,UNDER CENTER,RUSH
432,2,2,46,SD,CLE,2,6,27,SHOTGUN,PASS
433,2,2,18,SD,CLE,1,10,43,SHOTGUN,PASS
434,2,2,12,SD,CLE,1,10,48,SHOTGUN,PASS
435,2,0,36,CLE,SD,1,10,47,SHOTGUN,PASS
436,3,2,21,SD,CLE,2,14,17,SHOTGUN,PASS
437,4,0,48,SD,CLE,1,10,76,SHOTGUN,RUSH
439,4,0,43,SD,CLE,2,8,78,SHOTGUN,RUSH
440,2,9,3,SF,GB,1,10,67,SHOTGUN,PASS
442,3,0,40,SF,GB,1,10,12,SHOTGUN,PASS
443,4,6,9,GB,SF,4,10,24,PUNT,KICK
444,4,5,58,SF,GB,1,10,33,SHOTGUN,PASS
445,4,5,53,SF,GB,2,10,33,SHOTGUN,PASS
448,4,1,7,GB,SF,3,4,51,UNDER CENTER,RUSH
452,3,9,12,ARI,LA,2,15,25,SHOTGUN,PASS
453,3,8,48,ARI,LA,3,2,38,SHOTGUN,PASS
455,3,1,5,LA,ARI,1,15,7,UNDER CENTER,RUSH
457,4,9,36,LA,ARI,1,15,79,SHOTGUN,PASS
458,4,9,4,LA,ARI,2,6,88,UNDER CENTER,RUSH
459,1,0,26,DEN,MIN,1,14,7,SHOTGUN,PASS
461,2,1,53,MIN,DEN,2,10,80,SHOTGUN,PASS
462,4,2,56,DEN,MIN,1,10,62,SHOTGUN,RUSH
463,4,2,14,DEN,MIN,1,10,75,SHOTGUN,RUSH
464,2,11,29,NO,DAL,1,10,34,UNDER CENTER,RUSH
465,2,9,35,NO,DAL,1,10,45,SHOTGUN,RUSH
466,2,0,58,NO,DAL,3,5,20,NO HUDDLE SHOTGUN,PASS
467,3,5,25,NO,DAL,3,1,61,UNDER CENTER,RUSH
469,1,8,0,SEA,DET,1,10,41,UNDER CENTER,PASS
470,1,7,33,SEA,DET,2,4,47,UNDER CENTER,RUSH
472,2,14,10,DET,SEA,3,8,36,SHOTGUN,PASS
473,2,14,6,DET,SEA,4,8,36,PUNT,KICK
474,2,13,49,SEA,DET,1,5,38,UNDER CENTER,RUSH
475,2,0,24,DET,SEA,3,10,41,SHOTGUN,PASS
476,2,0,6,SEA,DET,1,10,17,UNDER CENTER,RUSH
478,1,5,41,HOU,IND,3,10,20,SHOTGUN,PASS
479,1,5,11,HOU,IND,1,10,34,UNDER CENTER,RUSH
480,2,13,38,IND,HOU,1,10,30,UNDER CENTER,RUSH
481,2,0,45,HOU,IND,1,10,31,SHOTGUN,PASS
482,3,11,46,HOU,IND,3,3,27,SHOTGUN,PASS
485,3,0,24,NO,PHI,1,10,27,UNDER CENTER,RUSH
486,4,2,48,NO,PHI,2,10,42,NO HUDDLE SHOTGUN,PASS
487,4,2,44,NO,PHI,3,10,42,NO HUDDLE SHOTGUN,PASS
488,4,2,40,NO,PHI,1,10,54,NO HUDDLE SHOTGUN,PASS
489,1,12,5,CHI,KC,1,10,45,NO HUDDLE,RUSH
491,3,12,28,KC,CHI,1,10,47,SHOTGUN,RUSH
493,3,3,29,KC,CHI,1,10,20,SHOTGUN,RUSH
494,4,10,12,CHI,KC,2,10,50,NO HUDDLE SHOTGUN,PASS
496,4,3,5,KC,CHI,1,10,20,UNDER CENTER,RUSH
498,4,0,11,KC,CHI,1,10,29,SHOTGUN,PASS
502,2,6,6,CIN,SEA,1,10,50,UNDER CENTER,RUSH
503,2,5,32,CIN,SEA,2,5,55,UNDER CENTER,RUSH
505,2,0,2,SEA,CIN,1,6,94,FIELD GOAL,KICK
507,3,0,31,CIN,SEA,3,14,29,SHOTGUN,PASS
508,3,0,25,CIN,SEA,4,14,29,PUNT,KICK
510,4,8,47,CIN,SEA,2,5,34,SHOTGUN,PASS
511,5,8,42,SEA,CIN,1,20,10,SHOTGUN,PASS
512,5,8,2,SEA,CIN,2,8,22,SHOTGUN,PASS
513,1,10,50,ATL,WAS,1,10,60,UNDER CENTER,PASS
516,2,1,15,ATL,WAS,2,2,63,NO HUDDLE SHOTGUN,RUSH
517,2,0,53,ATL,WAS,1,10,71,NO HUDDLE SHOTGUN,PASS
519,4,8,5,WAS,ATL,1,2,98,UNDER CENTER,RUSH
521,4,1,34,ATL,WAS,1,10,63,NO HUDDLE SHOTGUN,PASS
522,4,1,8,ATL,WAS,1,10,79,NO HUDDLE SHOTGUN,PASS
523,1,5,23,TB,JAX,2,9,53,UNDER CENTER,RUSH
525,3,6,0,JAX,TB,1,10,50,UNDER CENTER,RUSH
526,3,0,15,JAX,TB,1,10,20,UNDER CENTER,RUSH
527,4,6,35,TB,JAX,2,5,24,UNDER CENTER,RUSH
530,1,0,9,CLE,BAL,1,10,12,UNDER CENTER,RUSH
532,2,1,7,BAL,CLE,4,11,67,FIELD GOAL,KICK
533,2,1,3,CLE,BAL,1,10,41,SHOTGUN,PASS
534,3,11,35,BAL,CLE,2,11,9,UNDER CENTER,RUSH
535,3,10,58,BAL,CLE,3,4,16,SHOTGUN,PASS
537,4,5,56,CLE,BAL,1,10,20,SHOTGUN,PASS
539,5,9,55,CLE,BAL,1,10,75,SHOTGUN,PASS
540,5,9,30,CLE,BAL,2,6,79,SHOTGUN,RUSH
542,3,8,26,TEN,BUF,2,5,83,SHOTGUN,PASS
543,3,6,54,TEN,BUF,2,1,99,UNDER CENTER,RUSH
545,4,6,51,BUF,TEN,1,7,93,UNDER CENTER,RUSH
546,4,1,32,BUF,TEN,1,10,38,UNDER CENTER,RUSH
547,1,2,25,GB,LA,3,3,57,NO HUDDLE SHOTGUN,PASS
548,2,10,35,LA,GB,1,10,43,UNDER CENTER,RUSH
549,2,9,56,LA,GB,2,8,45,UNDER CENTER,RUSH
551,3,4,15,GB,LA,1,10,40,UNDER CENTER,RUSH
552,4,4,40,LA,GB,2,10,52,UNDER CENTER,PASS
553,4,3,13,GB,LA,3,7,56,UNDER CENTER,PASS
555,1,4,4,DET,ARI,2,7,38,UNDER CENTER,PASS
557,3,15,0,ARI,DET,1,10,20,UNDER CENTER,PASS
558,3,14,57,ARI,DET,2,10,20,UNDER CENTER,RUSH
560,3,6,31,ARI,DET,1,2,98,UNDER CENTER,PASS
562,4,8,41,ARI,DET,1,10,58,UNDER CENTER,RUSH
563,2,10,7,NE,DAL,2,18,22,SHOTGUN,PASS
565,4,12,4,DAL,NE,2,14,16,SHOTGUN,PASS
566,1,4,46,OAK,DEN,1,15,81,SHOTGUN,RUSH
567,2,11,6,OAK,DEN,2,8,64,UNDER CENTER,PASS
568,2,10,18,OAK,DEN,1,3,97,UNDER CENTER,RUSH
569,2,3,36,OAK,DEN,4,9,34,PUNT,KICK
571,3,4,26,OAK,DEN,2,10,40,SHOTGUN,PASS
572,3,4,19,OAK,DEN,3,10,40,SHOTGUN,PASS
573,4,13,26,DEN,OAK,2,5,49,SHOTGUN,RUSH
