GAMEID,GAMEDATE,QUARTER,MINUTE,SECOND,OFFENSETEAM,DEFENSETEAM,DOWN,TOGO,YARDLINE,DESCRIPTION,SEASONYEAR,YARDS,FORMATION,PLAYTYPE,PASSTYPE,RUSHDIRECTION,YARDLINEFIXED,YARDLINEDIRECTION,PLAY
2016090800,2016-09-08,1,4,58,DEN,CAR,2,11,49,(4:58) (SHOTGUN) 13-T.SIEMIAN PASS SHORT RIGHT TO 22-C.ANDERSON TO CAR 30 FOR 21 YARDS (58-T.DAVIS).,2016,21,SHOTGUN,PASS,SHORT RIGHT,,49,OWN,PASS
2016090800,2016-09-08,1,8,55,CAR,DEN,1,10,64,(8:55) (SHOTGUN) 19-T.GINN LEFT END TO DEN 16 FOR 20 YARDS (26-D.STEWART).,2016,20,SHOTGUN,RUSH,,LEFT END,36,OPP,RUSH
2016090800,2016-09-08,1,0,55,CAR,DEN,2,10,36,(:55) 28-J.STEWART LEFT GUARD TO CAR 40 FOR 4 YARDS (95-D.WOLFE).,2016,4,UNDER CENTER,RUSH,,LEFT GUARD,36,OWN,RUSH
2016090800,2016-09-08,1,1,48,DEN,CAR,2,10,84,(1:48) 13-T.SIEMIAN SACKED AT CAR 25 FOR -9 YARDS (92-V.BUTLER).,2016,-9,UNDER CENTER,SACK,,,16,OPP,PASS
2016090800,2016-09-08,1,6,48,DEN,CAR,1,10,39,(6:48) (SHOTGUN) 22-C.ANDERSON UP THE MIDDLE TO DEN 42 FOR 3 YARDS (99-K.SHORT).,2016,3,SHOTGUN,RUSH,,CENTER,39,OWN,RUSH
2016090800,2016-09-08,1,11,47,DEN,CAR,2,5,71,"(11:47) 23-D.BOOKER RIGHT GUARD TO CAR 29 FOR NO GAIN (95-C.JOHNSON). FUMBLES (95-C.JOHNSON), RECOVERED BY CAR-54-S.THOMPSON AT CAR 29. 54-S.THOMPSON TO CAR 29 FOR NO GAIN (23-D.BOOKER).",2016,0,UNDER CENTER,RUSH,,RIGHT GUARD,29,OPP,RUSH
2016090800,2016-09-08,1,13,42,DEN,CAR,1,10,48,(13:42) 13-T.SIEMIAN PASS SHORT RIGHT TO 10-E.SANDERS TO CAR 47 FOR 5 YARDS (27-R.MCCLAIN).,2016,5,UNDER CENTER,PASS,SHORT RIGHT,,48,OWN,PASS
2016090800,2016-09-08,1,3,40,DEN,CAR,2,4,76,(3:40) 23-D.BOOKER RIGHT GUARD TO CAR 22 FOR 2 YARDS (58-T.DAVIS).,2016,2,UNDER CENTER,RUSH,,RIGHT GUARD,24,OPP,RUSH
2016090800,2016-09-08,1,9,39,CAR,DEN,2,9,47,(9:39) (SHOTGUN) 1-C.NEWTON PASS INCOMPLETE SHORT MIDDLE TO 88-G.OLSEN (43-T.WARD).,2016,0,SHOTGUN,PASS,SHORT MIDDLE,,47,OWN,PASS
2016090800,2016-09-08,1,5,38,DEN,CAR,1,10,50,(5:38) 22-C.ANDERSON RIGHT GUARD TO DEN 49 FOR -1 YARDS (59-L.KUECHLY).,2016,-1,UNDER CENTER,RUSH,,RIGHT GUARD,50,OPP,RUSH
2016090800,2016-09-08,1,11,37,CAR,DEN,1,10,29,(11:37) 28-J.STEWART UP THE MIDDLE TO CAR 35 FOR 6 YARDS (54-B.MARSHALL).,2016,6,UNDER CENTER,RUSH,,CENTER,29,OWN,RUSH
2016090800,2016-09-08,1,9,35,CAR,DEN,3,9,47,(9:35) (SHOTGUN) 1-C.NEWTON PASS DEEP MIDDLE TO 13-K.BENJAMIN TO DEN 36 FOR 17 YARDS (31-J.SIMMONS).,2016,17,SHOTGUN,PASS,DEEP MIDDLE,,47,OWN,PASS
2016090800,2016-09-08,1,12,23,DEN,CAR,1,10,66,(12:23) 22-C.ANDERSON RIGHT GUARD TO CAR 29 FOR 5 YARDS (27-R.MCCLAIN).,2016,5,UNDER CENTER,RUSH,,RIGHT GUARD,34,OPP,RUSH
2016090800,2016-09-08,1,2,22,DEN,CAR,1,10,84,(2:22) 22-C.ANDERSON LEFT GUARD TO CAR 16 FOR NO GAIN (59-L.KUECHLY).,2016,0,UNDER CENTER,RUSH,,LEFT GUARD,16,OPP,RUSH
2016090800,2016-09-08,1,10,21,CAR,DEN,1,10,46,(10:21) (SHOTGUN) 35-M.TOLBERT RIGHT GUARD TO CAR 47 FOR 1 YARD (94-D.WARE).,2016,1,SHOTGUN,RUSH,,RIGHT GUARD,46,OWN,RUSH
2016090800,2016-09-08,1,7,20,CAR,DEN,2,8,86,"(7:20) (SHOTGUN) 1-C.NEWTON PASS SHORT RIGHT TO 13-K.BENJAMIN FOR 14 YARDS, TOUCHDOWN. PENALTY ON CAR-70-T.TURNER, TAUNTING, 15 YARDS, ENFORCED BETWEEN DOWNS. PENALTY TO BE ASSESSED ON THE KICKOFF.",2016,14,SHOTGUN,PASS,SHORT RIGHT,,14,OPP,PASS
2016090800,2016-09-08,1,4,20,DEN,CAR,1,10,70,(4:20) 23-D.BOOKER RIGHT GUARD TO CAR 24 FOR 6 YARDS (24-J.BRADBERRY; 20-K.COLEMAN).,2016,6,UNDER CENTER,RUSH,,RIGHT GUARD,30,OPP,RUSH
2016090800,2016-09-08,1,6,19,DEN,CAR,2,7,42,(6:19) 13-T.SIEMIAN PASS SHORT RIGHT TO 88-D.THOMAS TO 50 FOR 8 YARDS (24-J.BRADBERRY).,2016,8,UNDER CENTER,PASS,SHORT RIGHT,,42,OWN,PASS
2016090800,2016-09-08,1,14,17,DEN,CAR,1,10,36,(14:17) 13-T.SIEMIAN PASS INCOMPLETE SHORT RIGHT TO 22-C.ANDERSON [20-K.COLEMAN].,2016,0,UNDER CENTER,PASS,SHORT RIGHT,,36,OWN,PASS
2016090800,2016-09-08,1,14,13,DEN,CAR,2,10,36,(14:13) 13-T.SIEMIAN PASS INCOMPLETE SHORT RIGHT TO 10-E.SANDERS.,2016,0,UNDER CENTER,PASS,SHORT RIGHT,,36,OWN,PASS
2016090800,2016-09-08,1,7,13,DEN,CAR,1,10,25,(7:13) 13-T.SIEMIAN PASS SHORT RIGHT TO 10-E.SANDERS RAN OB AT DEN 39 FOR 14 YARDS.,2016,14,UNDER CENTER,PASS,SHORT RIGHT,,25,OWN,PASS
2016090800,2016-09-08,1,0,12,CAR,DEN,3,6,40,(:12) (SHOTGUN) 1-C.NEWTON PASS SHORT MIDDLE TO 35-M.TOLBERT TO CAR 41 FOR 1 YARD (26-D.STEWART).,2016,1,SHOTGUN,PASS,SHORT MIDDLE,,40,OWN,PASS
2016090800,2016-09-08,1,1,9,DEN,CAR,3,19,75,(1:09) (SHOTGUN) 13-T.SIEMIAN PASS SHORT RIGHT INTENDED FOR 10-E.SANDERS INTERCEPTED BY 58-T.DAVIS (98-S.LOTULELEI) AT CAR 32. 58-T.DAVIS TO CAR 36 FOR 4 YARDS (13-T.SIEMIAN).,2016,4,SHOTGUN,PASS,SHORT RIGHT,,25,OPP,PASS
2016090800,2016-09-08,1,14,8,DEN,CAR,3,10,36,(14:08) (SHOTGUN) 13-T.SIEMIAN PASS SHORT LEFT TO 85-V.GREEN RAN OB AT DEN 48 FOR 12 YARDS.,2016,12,SHOTGUN,PASS,SHORT LEFT,,36,OWN,PASS
2016090800,2016-09-08,1,8,7,CAR,DEN,1,10,84,(8:07) 28-J.STEWART UP THE MIDDLE TO DEN 14 FOR 2 YARDS (56-S.RAY).,2016,2,UNDER CENTER,RUSH,,CENTER,16,OPP,RUSH
2016090800,2016-09-08,1,1,3,CAR,DEN,1,10,36,(1:03) (SHOTGUN) 1-C.NEWTON PASS INCOMPLETE SHORT LEFT TO 13-K.BENJAMIN [93-J.CRICK].,2016,0,SHOTGUN,PASS,SHORT LEFT,,36,OWN,PASS
2016090800,2016-09-08,1,13,1,DEN,CAR,2,5,53,(13:01) 22-C.ANDERSON UP THE MIDDLE TO CAR 34 FOR 13 YARDS (24-J.BRADBERRY).,2016,13,UNDER CENTER,RUSH,,CENTER,47,OPP,RUSH
2016090800,2016-09-08,1,11,1,CAR,DEN,2,4,35,(11:01) (SHOTGUN) 28-J.STEWART LEFT END TO CAR 46 FOR 11 YARDS (51-T.DAVIS).,2016,11,SHOTGUN,RUSH,,LEFT END,35,OWN,RUSH
2016090800,2016-09-08,1,3,0,DEN,CAR,3,2,78,(3:00) (SHOTGUN) 13-T.SIEMIAN PASS SHORT RIGHT TO 88-D.THOMAS TO CAR 16 FOR 6 YARDS (24-J.BRADBERRY).,2016,6,SHOTGUN,PASS,SHORT RIGHT,,22,OPP,PASS
2016090800,2016-09-08,1,15,0,DEN,CAR,1,10,25,(15:00) 13-T.SIEMIAN PASS SHORT LEFT TO 88-D.THOMAS TO DEN 36 FOR 11 YARDS (59-L.KUECHLY).,2016,11,UNDER CENTER,PASS,SHORT LEFT,,25,OWN,PASS
2016090800,2016-09-08,2,5,59,CAR,DEN,2,10,65,(5:59) (SHOTGUN) 1-C.NEWTON PASS INCOMPLETE SHORT RIGHT TO 13-K.BENJAMIN.,2016,0,SHOTGUN,PASS,SHORT RIGHT,,35,OPP,PASS
2016090800,2016-09-08,2,0,56,CAR,DEN,1,10,34,"(:56) (NO HUDDLE, SHOTGUN) 1-C.NEWTON PASS SHORT LEFT TO 13-K.BENJAMIN TO 50 FOR 16 YARDS (25-C.HARRIS).",2016,16,NO HUDDLE SHOTGUN,PASS,SHORT LEFT,,34,OWN,PASS
2016090800,2016-09-08,2,5,55,CAR,DEN,3,10,65,(5:55) (SHOTGUN) 1-C.NEWTON PASS SHORT LEFT TO 88-G.OLSEN PUSHED OB AT DEN 22 FOR 13 YARDS (29-B.ROBY).,2016,13,SHOTGUN,PASS,SHORT LEFT,,35,OPP,PASS
2016090800,2016-09-08,2,1,55,DEN,CAR,4,7,28,"(1:55) 9-R.DIXON PUNTS 44 YARDS TO CAR 28, CENTER-42-C.KREITER. 19-T.GINN TO CAR 32 FOR 4 YARDS (14-C.LATIMER). PENALTY ON CAR-26-D.WORLEY, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT CAR 32.",2016,0,PUNT,PUNT,,,28,OWN,KICK
2016090800,2016-09-08,2,6,53,CAR,DEN,2,6,56,(6:53) (SHOTGUN) 1-C.NEWTON PASS INCOMPLETE SHORT LEFT TO 13-K.BENJAMIN [93-J.CRICK].,2016,0,SHOTGUN,PASS,SHORT LEFT,,44,OPP,PASS
2016090800,2016-09-08,2,14,52,DEN,CAR,1,10,20,(14:52) 13-T.SIEMIAN PASS SHORT LEFT TO 10-E.SANDERS TO DEN 35 FOR 15 YARDS (25-B.BENWIKERE).,2016,15,UNDER CENTER,PASS,SHORT LEFT,,20,OWN,PASS
2016090800,2016-09-08,2,6,50,CAR,DEN,3,6,56,(6:50) (SHOTGUN) 1-C.NEWTON PASS SHORT RIGHT TO 17-D.FUNCHESS RAN OB AT DEN 35 FOR 9 YARDS.,2016,9,SHOTGUN,PASS,SHORT RIGHT,,44,OPP,PASS
2016090800,2016-09-08,2,8,48,CAR,DEN,1,10,42,(8:48) (SHOTGUN) 1-C.NEWTON PASS SHORT LEFT TO 43-F.WHITTAKER TO CAR 46 FOR 4 YARDS (54-B.MARSHALL). DEN-54-B.MARSHALL WAS INJURED DURING THE PLAY. HIS RETURN IS PROBABLE.,2016,4,SHOTGUN,PASS,SHORT LEFT,,42,OWN,PASS
2016090800,2016-09-08,2,13,46,DEN,CAR,1,10,63,(13:46) 13-T.SIEMIAN SCRAMBLES RIGHT TACKLE TO CAR 29 FOR 8 YARDS (59-L.KUECHLY).,2016,8,UNDER CENTER,SCRAMBLE,,,37,OPP,PASS
2016090800,2016-09-08,2,1,45,CAR,DEN,1,10,22,(1:45) (SHOTGUN) 1-C.NEWTON UP THE MIDDLE TO CAR 31 FOR 9 YARDS (26-D.STEWART).,2016,9,SHOTGUN,RUSH,,CENTER,22,OWN,RUSH
2016090800,2016-09-08,2,10,42,CAR,DEN,1,10,30,(10:42) (SHOTGUN) 1-C.NEWTON LEFT GUARD TO CAR 36 FOR 6 YARDS (54-B.MARSHALL).,2016,6,SHOTGUN,RUSH,,LEFT GUARD,30,OWN,RUSH
2016090800,2016-09-08,2,4,41,CAR,DEN,2,7,81,(4:41) (SHOTGUN) 1-C.NEWTON PASS SHORT LEFT TO 88-G.OLSEN TO DEN 19 FOR NO GAIN (25-C.HARRIS).,2016,0,SHOTGUN,PASS,SHORT LEFT,,19,OPP,PASS
2016090800,2016-09-08,2,6,37,CAR,DEN,1,10,65,(6:37) 28-J.STEWART RIGHT GUARD TO DEN 35 FOR NO GAIN (93-J.CRICK).,2016,0,UNDER CENTER,RUSH,,RIGHT GUARD,35,OPP,RUSH
2016090800,2016-09-08,2,7,34,CAR,DEN,1,10,52,(7:34) 43-F.WHITTAKER LEFT TACKLE TO DEN 44 FOR 4 YARDS (51-T.DAVIS).,2016,4,UNDER CENTER,RUSH,,LEFT TACKLE,48,OPP,RUSH
2016090800,2016-09-08,2,0,33,CAR,DEN,1,5,55,(:33) (SHOTGUN) 1-C.NEWTON UP THE MIDDLE TO DEN 33 FOR 12 YARDS (54-B.MARSHALL).,2016,12,SHOTGUN,RUSH,,CENTER,45,OPP,RUSH
2016090800,2016-09-08,2,11,28,CAR,DEN,2,6,15,(11:28) (SHOTGUN) 1-C.NEWTON PASS INCOMPLETE SHORT RIGHT TO 13-K.BENJAMIN [51-T.DAVIS].,2016,0,SHOTGUN,PASS,SHORT RIGHT,,15,OWN,PASS
2016090800,2016-09-08,2,9,25,CAR,DEN,3,1,39,(9:25) (SHOTGUN) 28-J.STEWART UP THE MIDDLE TO CAR 42 FOR 3 YARDS (54-B.MARSHALL).,2016,3,SHOTGUN,RUSH,,CENTER,39,OWN,RUSH
2016090800,2016-09-08,2,2,24,DEN,CAR,2,8,27,(2:24) 22-C.ANDERSON LEFT GUARD TO DEN 28 FOR 1 YARD (33-T.BOSTON).,2016,1,UNDER CENTER,RUSH,,LEFT GUARD,27,OWN,RUSH
2016090800,2016-09-08,2,12,23,DEN,CAR,3,1,72,"(12:23) 32-A.JANOVICH RIGHT GUARD FOR 28 YARDS, TOUCHDOWN.",2016,28,UNDER CENTER,RUSH,,RIGHT GUARD,28,OPP,RUSH
2016090800,2016-09-08,2,1,22,CAR,DEN,2,1,31,"(1:22) (NO HUDDLE, SHOTGUN) 43-F.WHITTAKER UP THE MIDDLE TO CAR 34 FOR 3 YARDS (92-S.WILLIAMS).",2016,3,NO HUDDLE SHOTGUN,RUSH,,CENTER,31,OWN,RUSH
2016090800,2016-09-08,2,11,20,CAR,DEN,3,6,15,(11:20) (SHOTGUN) 1-C.NEWTON PASS SHORT LEFT TO 13-K.BENJAMIN TO CAR 30 FOR 15 YARDS (26-D.STEWART).,2016,15,SHOTGUN,PASS,SHORT LEFT,,15,OWN,PASS
2016090800,2016-09-08,2,5,17,CAR,DEN,1,10,78,(5:17) (SHOTGUN) 1-C.NEWTON LEFT END PUSHED OB AT DEN 19 FOR 3 YARDS (51-T.DAVIS).,2016,3,SHOTGUN,RUSH,,LEFT END,22,OPP,RUSH
2016090800,2016-09-08,2,14,14,DEN,CAR,1,10,35,(14:14) 22-C.ANDERSON LEFT TACKLE PUSHED OB AT CAR 37 FOR 28 YARDS (33-T.BOSTON).,2016,28,UNDER CENTER,RUSH,,LEFT TACKLE,35,OWN,RUSH
2016090800,2016-09-08,2,8,12,CAR,DEN,2,6,46,(8:12) (SHOTGUN) 43-F.WHITTAKER RIGHT GUARD TO DEN 48 FOR 6 YARDS (43-T.WARD).,2016,6,SHOTGUN,RUSH,,RIGHT GUARD,46,OWN,RUSH
2016090800,2016-09-08,2,0,12,CAR,DEN,2,10,67,(:12) (SHOTGUN) 1-C.NEWTON PASS SHORT RIGHT TO 88-G.OLSEN RAN OB AT DEN 26 FOR 7 YARDS.,2016,7,SHOTGUN,PASS,SHORT RIGHT,,33,OPP,PASS
2016090800,2016-09-08,2,12,9,CAR,DEN,1,10,11,(12:09) (SHOTGUN) 1-C.NEWTON LEFT TACKLE TO CAR 15 FOR 4 YARDS (58-V.MILLER).,2016,4,SHOTGUN,RUSH,,LEFT TACKLE,11,OWN,RUSH
2016090800,2016-09-08,2,3,7,CAR,DEN,1,2,98,"(3:07) (SHOTGUN) 1-C.NEWTON RIGHT END FOR 2 YARDS, TOUCHDOWN.",2016,2,SHOTGUN,RUSH,,RIGHT END,2,OPP,RUSH
2016090800,2016-09-08,2,0,7,CAR,DEN,3,3,74,"(:07) 9-G.GANO 44 YARD FIELD GOAL IS GOOD, CENTER-44-J.JANSEN, HOLDER-8-A.LEE. PENALTY ON DEN-21-A.TALIB, DEFENSIVE OFFSIDE, DECLINED.",2016,0,FIELD GOAL,FIELD GOAL,,,26,OPP,KICK
2016090800,2016-09-08,2,10,6,CAR,DEN,2,4,36,(10:06) (SHOTGUN) 28-J.STEWART UP THE MIDDLE TO CAR 39 FOR 3 YARDS (98-D.KILGO).,2016,3,SHOTGUN,RUSH,,CENTER,36,OWN,RUSH
2016090800,2016-09-08,2,0,3,DEN,CAR,1,10,25,(:03) 13-T.SIEMIAN KNEELS TO DEN 24 FOR -1 YARDS.,2016,0,UNDER CENTER,QB KNEEL,,,25,OWN,RUSH
2016090800,2016-09-08,2,13,2,DEN,CAR,2,2,71,(13:02) 22-C.ANDERSON LEFT TACKLE TO CAR 28 FOR 1 YARD (54-S.THOMPSON).,2016,1,UNDER CENTER,RUSH,,LEFT TACKLE,29,OPP,RUSH
2016090800,2016-09-08,2,3,1,DEN,CAR,1,10,25,(3:01) 22-C.ANDERSON LEFT GUARD TO DEN 27 FOR 2 YARDS (54-S.THOMPSON).,2016,2,UNDER CENTER,RUSH,,LEFT GUARD,25,OWN,RUSH
2016090800,2016-09-08,2,4,0,CAR,DEN,3,7,81,(4:00) (SHOTGUN) 1-C.NEWTON PASS SHORT RIGHT TO 88-G.OLSEN TO DEN 4 FOR 15 YARDS (43-T.WARD).,2016,15,SHOTGUN,PASS,SHORT RIGHT,,19,OPP,PASS
2016090800,2016-09-08,2,15,0,CAR,DEN,4,5,41,"(15:00) 8-A.LEE PUNTS 59 YARDS TO END ZONE, CENTER-44-J.JANSEN, TOUCHBACK.",2016,0,PUNT,PUNT,,,41,OWN,KICK
2016090800,2016-09-08,2,2,0,DEN,CAR,3,7,28,(2:00) (SHOTGUN) 13-T.SIEMIAN PASS INCOMPLETE SHORT RIGHT TO 11-J.NORWOOD (24-J.BRADBERRY).,2016,0,SHOTGUN,PASS,SHORT RIGHT,,28,OWN,PASS
2016090800,2016-09-08,3,3,58,DEN,CAR,1,10,22,(3:58) 13-T.SIEMIAN PASS SHORT RIGHT TO 22-C.ANDERSON TO DEN 28 FOR 6 YARDS (58-T.DAVIS).,2016,6,UNDER CENTER,PASS,SHORT RIGHT,,22,OWN,PASS
2016090800,2016-09-08,3,0,57,DEN,CAR,1,10,60,(:57) 13-T.SIEMIAN PASS SHORT LEFT TO 35-K.BIBBS TO CAR 34 FOR 6 YARDS (27-R.MCCLAIN).,2016,6,UNDER CENTER,PASS,SHORT LEFT,,40,OPP,PASS
2016090800,2016-09-08,3,4,52,CAR,DEN,3,30,19,(4:52) (SHOTGUN) 1-C.NEWTON PASS SHORT MIDDLE TO 13-K.BENJAMIN TO CAR 32 FOR 13 YARDS (29-B.ROBY).,2016,13,SHOTGUN,PASS,SHORT MIDDLE,,19,OWN,PASS
2016090800,2016-09-08,3,5,51,DEN,CAR,4,9,15,"(5:51) 9-R.DIXON PUNTS 54 YARDS TO CAR 31, CENTER-42-C.KREITER. 19-T.GINN TO CAR 39 FOR 8 YARDS (36-K.WEBSTER).",2016,0,PUNT,PUNT,,,15,OWN,KICK
2016090800,2016-09-08,3,10,47,DEN,CAR,1,10,43,(10:47) 22-C.ANDERSON RIGHT TACKLE TO DEN 45 FOR 2 YARDS (59-L.KUECHLY).,2016,2,UNDER CENTER,RUSH,,RIGHT TACKLE,43,OWN,RUSH
2016090800,2016-09-08,3,7,46,CAR,DEN,4,10,11,"(7:46) 8-A.LEE PUNTS 76 YARDS TO DEN 13, CENTER-44-J.JANSEN. 11-J.NORWOOD TO DEN 24 FOR 11 YARDS. PENALTY ON DEN-52-C.NELSON, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT DEN 24.",2016,0,PUNT,PUNT,,,11,OWN,KICK
2016090800,2016-09-08,3,2,44,DEN,CAR,1,10,39,(2:44) 13-T.SIEMIAN PASS SHORT LEFT TO 85-V.GREEN PUSHED OB AT DEN 37 FOR -2 YARDS (54-S.THOMPSON).,2016,-2,UNDER CENTER,PASS,SHORT LEFT,,39,OWN,PASS
2016090800,2016-09-08,3,13,40,CAR,DEN,1,10,35,(13:40) (SHOTGUN) 1-C.NEWTON RIGHT GUARD TO CAR 39 FOR 4 YARDS (54-B.MARSHALL).,2016,4,SHOTGUN,RUSH,,RIGHT GUARD,35,OWN,RUSH
2016090800,2016-09-08,3,5,39,CAR,DEN,1,10,39,(5:39) (SHOTGUN) 1-C.NEWTON PASS INCOMPLETE SHORT RIGHT TO 28-J.STEWART.,2016,0,SHOTGUN,PASS,SHORT RIGHT,,39,OWN,PASS
2016090800,2016-09-08,3,1,38,DEN,CAR,1,10,50,(1:38) 22-C.ANDERSON RIGHT TACKLE TO CAR 40 FOR 10 YARDS (59-L.KUECHLY).,2016,10,UNDER CENTER,RUSH,,RIGHT TACKLE,50,OPP,RUSH
2016090800,2016-09-08,3,8,34,CAR,DEN,2,3,18,(8:34) 1-C.NEWTON PASS INCOMPLETE DEEP RIGHT TO 17-D.FUNCHESS [48-S.BARRETT].,2016,0,UNDER CENTER,PASS,DEEP RIGHT,,18,OWN,PASS
2016090800,2016-09-08,3,11,33,CAR,DEN,4,1,44,"(11:33) 8-A.LEE PUNTS 56 YARDS TO END ZONE, CENTER-44-J.JANSEN, TOUCHBACK.",2016,0,PUNT,PUNT,,,44,OWN,KICK
2016090800,2016-09-08,3,5,31,CAR,DEN,2,10,39,(5:31) (SHOTGUN) 1-C.NEWTON PASS INCOMPLETE SHORT RIGHT TO 10-C.BROWN.,2016,0,SHOTGUN,PASS,SHORT RIGHT,,39,OWN,PASS
2016090800,2016-09-08,3,7,30,DEN,CAR,1,10,14,(7:30) 22-C.ANDERSON LEFT GUARD TO DEN 15 FOR 1 YARD (91-R.DELAIRE).,2016,1,UNDER CENTER,RUSH,,LEFT GUARD,14,OWN,RUSH
2016090800,2016-09-08,3,8,27,CAR,DEN,3,3,18,(8:27) (SHOTGUN) 1-C.NEWTON SACKED AT CAR 11 FOR -7 YARDS (94-D.WARE).,2016,-7,SHOTGUN,SACK,,,18,OWN,PASS
2016090800,2016-09-08,3,5,27,CAR,DEN,3,10,39,"(5:27) (SHOTGUN) 1-C.NEWTON PASS SHORT LEFT TO 28-J.STEWART TO DEN 39 FOR 22 YARDS (31-J.SIMMONS). PENALTY ON CAR-67-R.KALIL, FACE MASK (15 YARDS), 15 YARDS, ENFORCED AT CAR 39 - NO PLAY.",2016,22,SHOTGUN,PASS,SHORT LEFT,,39,OWN,PASS
2016090800,2016-09-08,3,11,24,DEN,CAR,1,10,20,(11:24) 13-T.SIEMIAN PASS SHORT LEFT TO 88-D.THOMAS TO DEN 43 FOR 23 YARDS (24-J.BRADBERRY).,2016,23,UNDER CENTER,PASS,SHORT LEFT,,20,OWN,PASS
2016090800,2016-09-08,3,6,24,DEN,CAR,3,14,10,(6:24) (SHOTGUN) 13-T.SIEMIAN PASS SHORT MIDDLE TO 85-V.GREEN TO DEN 15 FOR 5 YARDS (59-L.KUECHLY).,2016,5,SHOTGUN,PASS,SHORT MIDDLE,,10,OWN,PASS
2016090800,2016-09-08,3,14,22,CAR,DEN,2,7,28,(14:22) 28-J.STEWART UP THE MIDDLE TO CAR 35 FOR 7 YARDS (26-D.STEWART).,2016,7,UNDER CENTER,RUSH,,CENTER,28,OWN,RUSH
2016090800,2016-09-08,3,0,21,DEN,CAR,2,4,66,"(:21) (SHOTGUN) 13-T.SIEMIAN PASS SHORT LEFT TO 10-E.SANDERS TO CAR 25 FOR 9 YARDS (24-J.BRADBERRY). PENALTY ON CAR, DEFENSIVE HOLDING, DECLINED.",2016,9,SHOTGUN,PASS,SHORT LEFT,,34,OPP,PASS
2016090800,2016-09-08,3,3,19,DEN,CAR,2,4,28,(3:19) 13-T.SIEMIAN SCRAMBLES RIGHT END PUSHED OB AT DEN 39 FOR 11 YARDS (20-K.COLEMAN).,2016,11,UNDER CENTER,SCRAMBLE,,,28,OWN,PASS
2016090800,2016-09-08,3,9,17,DEN,CAR,1,10,70,(9:17) 13-T.SIEMIAN PASS DEEP RIGHT INTENDED FOR 10-E.SANDERS INTERCEPTED BY 25-B.BENWIKERE AT CAR 10. 25-B.BENWIKERE TO CAR 11 FOR 1 YARD (10-E.SANDERS).,2016,1,UNDER CENTER,PASS,DEEP RIGHT,,30,OPP,PASS
2016090800,2016-09-08,3,12,16,CAR,DEN,3,1,44,(12:16) 1-C.NEWTON LEFT END TO CAR 44 FOR NO GAIN (56-S.RAY; 21-A.TALIB).,2016,0,UNDER CENTER,RUSH,,LEFT END,44,OWN,RUSH
2016090800,2016-09-08,3,2,13,DEN,CAR,2,12,37,(2:13) (SHOTGUN) 13-T.SIEMIAN PASS SHORT LEFT TO 85-V.GREEN TO 50 FOR 13 YARDS (33-T.BOSTON).,2016,13,SHOTGUN,PASS,SHORT LEFT,,37,OWN,PASS
2016090800,2016-09-08,3,4,10,CAR,DEN,4,17,32,"(4:10) 8-A.LEE PUNTS 61 YARDS TO DEN 7, CENTER-44-J.JANSEN. 11-J.NORWOOD PUSHED OB AT DEN 22 FOR 15 YARDS (55-D.MAYO).",2016,0,PUNT,PUNT,,,32,OWN,KICK
2016090800,2016-09-08,3,9,10,CAR,DEN,1,10,11,(9:10) 28-J.STEWART UP THE MIDDLE TO CAR 18 FOR 7 YARDS (48-S.BARRETT).,2016,7,UNDER CENTER,RUSH,,CENTER,11,OWN,RUSH
2016090800,2016-09-08,3,10,9,DEN,CAR,2,8,45,"(10:09) 13-T.SIEMIAN PASS INCOMPLETE SHORT RIGHT TO 88-D.THOMAS. PENALTY ON CAR-24-J.BRADBERRY, DEFENSIVE PASS INTERFERENCE, 15 YARDS, ENFORCED AT DEN 45 - NO PLAY.",2016,0,UNDER CENTER,PASS,SHORT RIGHT,,45,OWN,PASS
2016090800,2016-09-08,3,10,5,DEN,CAR,1,10,60,(10:05) 22-C.ANDERSON RIGHT GUARD TO CAR 30 FOR 10 YARDS (59-L.KUECHLY).,2016,10,UNDER CENTER,RUSH,,RIGHT GUARD,40,OPP,RUSH
2016090800,2016-09-08,3,13,2,CAR,DEN,2,6,39,(13:02) 28-J.STEWART RIGHT GUARD TO CAR 44 FOR 5 YARDS (51-T.DAVIS).,2016,5,UNDER CENTER,RUSH,,RIGHT GUARD,39,OWN,RUSH
2016090800,2016-09-08,3,7,1,DEN,CAR,2,9,15,(7:01) 13-T.SIEMIAN PASS SHORT RIGHT TO 22-C.ANDERSON TO DEN 10 FOR -5 YARDS (58-T.DAVIS).,2016,-5,UNDER CENTER,PASS,SHORT RIGHT,,15,OWN,PASS
2016090800,2016-09-08,3,15,0,CAR,DEN,1,10,25,(15:00) (SHOTGUN) 28-J.STEWART RIGHT GUARD TO CAR 28 FOR 3 YARDS (95-D.WOLFE).,2016,3,SHOTGUN,RUSH,,RIGHT GUARD,25,OWN,RUSH
2016090800,2016-09-08,4,1,54,CAR,DEN,1,10,34,(1:54) (SHOTGUN) 35-M.TOLBERT UP THE MIDDLE TO CAR 39 FOR 5 YARDS (43-T.WARD).,2016,5,SHOTGUN,RUSH,,CENTER,34,OWN,RUSH
